ID_author,AU_ID_scopus,full_name,affiliation
244,36662921300,García Pardo I.P.,Universidad de Castilla-La Mancha
245,56817011900,Meneses De Quevedo P.,Universidad de Castilla-La Mancha
246,56543497100,Montoya-Bueno S.,Universidad de Castilla-La Mancha
247,26026043200,Munoz J.,Universidad de Castilla-La Mancha
248,33068306400,De La Nieta A.A.S.,Universidad de Castilla-La Mancha
249,57216410126,Souza F.L.,Universidad de Castilla-La Mancha
250,14058172600,Llanos J.,Universidad de Castilla-La Mancha
251,7401851115,Gutiérrez M.,Universidad de Castilla-La Mancha
252,15066677800,Sánchez F.,Universidad de Castilla-La Mancha
253,55983920100,González-Fuentes J.,Universidad de Castilla-La Mancha
254,55983981600,Lagartos-Donate M.J.,Universidad de Castilla-La Mancha
255,9745691600,Arroyo-Jiménez M.M.,Universidad de Castilla-La Mancha
256,6603040043,Llorens S.,Universidad de Castilla-La Mancha
257,49561707400,Serrano-Díaz J.,Universidad de Castilla-La Mancha
258,35237388200,Hernández J.,Universidad de Castilla-La Mancha
259,55072353000,Barba J.,Universidad de Castilla-La Mancha
260,56313069300,García Y.,Universidad de Castilla-La Mancha
261,56008879300,Ruiz C.,Universidad de Castilla-La Mancha
262,35766573100,Mena E.,Universidad de Castilla-La Mancha
263,13906053500,Acosta A.,Universidad de Castilla-La Mancha
264,23978248400,Pazo A.,Universidad de Castilla-La Mancha
265,56405449400,Zamora H.,Universidad de Castilla-La Mancha
266,57198252551,Plaza J.,Universidad de Castilla-La Mancha
267,54915590800,López-González D.,Universidad de Castilla-La Mancha
268,56520123100,Puig-Gamero M.,Universidad de Castilla-La Mancha
269,56345871300,Raschitor A.,Universidad de Castilla-La Mancha
270,57088942800,Fernandez-Marchante C.,Universidad de Castilla-La Mancha
271,35109530100,de Vidales M.J.M.,Universidad de Castilla-La Mancha
272,56305851100,Pérez J.F.,Universidad de Castilla-La Mancha
273,26633708400,García-Vargas J.M.,Universidad de Castilla-La Mancha
274,57195607078,Díez J.,Universidad de Castilla-La Mancha
275,56123116000,Alarcos N.,Universidad de Castilla-La Mancha
276,55558978500,Mateo S.,Universidad de Castilla-La Mancha
277,56780198300,Delgado-González J.C.,Universidad de Castilla-La Mancha
278,23480548300,Mohedano-Moriano A.,Universidad de Castilla-La Mancha
279,6603884501,Canoira L.,Universidad de Castilla-La Mancha
280,57195940694,Moreno M.,Universidad de Castilla-La Mancha
281,17433952300,Di Nunzio M.,Universidad de Castilla-La Mancha
282,57219233446,Martín C.,Universidad de Castilla-La Mancha
283,56269138100,Gil M.,Universidad de Castilla-La Mancha
284,56010671500,Lavin-Lopez M.P.,Universidad de Castilla-La Mancha
285,56674533100,Ruiz-Enrique M.I.,Universidad de Castilla-La Mancha
286,54879586500,Pardo-Garcia A.I.,Universidad de Castilla-La Mancha
287,6507216906,Pedregal D.J.,Universidad de Castilla-La Mancha
288,16634940600,Chacón Muñoz J.M.,Universidad de Castilla-La Mancha
289,55547137404,Díaz J.A.,Universidad de Castilla-La Mancha
290,55554340900,García-Minguillán A.M.,Universidad de Castilla-La Mancha
291,56048297700,Víctor-Román S.,Universidad de Castilla-La Mancha
292,56991104500,Simón-Herrero C.,Universidad de Castilla-La Mancha
293,7006647005,Gracia I.,Universidad de Castilla-La Mancha
294,55605884200,Expósito J.,Universidad de Castilla-La Mancha
295,35389572000,Pinar F.,Universidad de Castilla-La Mancha
296,35766945200,Úbeda D.,Universidad de Castilla-La Mancha
297,37097490500,Millán M.,Universidad de Castilla-La Mancha
298,56423751100,García-Rubio F.O.,Universidad de Castilla-La Mancha
299,57004952800,Parascanu M.M.,Universidad de Castilla-La Mancha
300,55279277400,Muñoz-López M.,Universidad de Castilla-La Mancha
301,56515350000,Pascual Molina J.,Universidad de Castilla-La Mancha
302,8963423600,Monedero E.,Universidad de Castilla-La Mancha
303,36834246400,Portero H.,Universidad de Castilla-La Mancha
304,56362987800,Bogarra M.,Universidad de Castilla-La Mancha
305,57193732466,Garrido J.,Universidad de Castilla-La Mancha
306,57194522502,Sánchez De La Nieta A.,Universidad de Castilla-La Mancha
307,36650800000,González V.,Universidad de Castilla-La Mancha
308,57192067088,Pedrosa-Castro G.,Universidad de Castilla-La Mancha
309,57191612122,Moraleda I.,Universidad de Castilla-La Mancha
310,55827827200,Sánchez-Valdepeñas J.,Universidad de Castilla-La Mancha
311,57190194298,Sánchez Tomás J.M.,Universidad de Castilla-La Mancha
312,57213286919,Sánchez-Gómez R.,Universidad de Castilla-La Mancha
313,7103022339,Pardo F.,Universidad de Castilla-La Mancha
314,57196484083,López C.,Universidad de Castilla-La Mancha
315,57190002851,Caminero-Huertas S.,Universidad de Castilla-La Mancha
316,56365214000,León M.,Universidad de Castilla-La Mancha
317,56562416800,Sánchez L.E.,Universidad de Castilla-La Mancha
318,56371311300,Mena E.,Universidad de Castilla-La Mancha
319,57190128701,Cano D.,Universidad de Castilla-La Mancha
320,57188932004,Asensio Y.,Universidad de Castilla-La Mancha
321,57113436600,Moreno-López L.,Universidad de Castilla-La Mancha
322,57016832900,de Quevedo P.M.,Universidad de Castilla-La Mancha
323,56872879300,Guerrero-Mestre V.,Universidad de Castilla-La Mancha
324,56212311400,de la Torre S.,Universidad de Castilla-La Mancha
325,56353852900,Jiménez C.,Universidad de Castilla-La Mancha
326,56414386400,Asensio M.,Universidad de Castilla-La Mancha
327,23670485400,Nieto-Márquez A.,Universidad de Castilla-La Mancha
328,57420512700,Rodríguez-Gómez A.,Universidad de Castilla-La Mancha
329,23052748500,Tapia A.,Universidad de Castilla-La Mancha
330,6603843579,Salgado M.S.,Universidad de Castilla-La Mancha
331,56309228500,Martín M.P.,Universidad de Castilla-La Mancha
332,6603672245,Cabañas B.,Universidad de Castilla-La Mancha
333,6504278030,Cañizares-Cañizares P.,Universidad de Castilla-La Mancha
334,57201269456,Ziółek M.,Universidad de Castilla-La Mancha
335,57220089748,Alonso J.,Universidad de Castilla-La Mancha
336,6602657851,Alvarruiz A.,Universidad de Castilla-La Mancha
337,57034186000,José Martín de Vidales M.,Universidad de Castilla-La Mancha
338,57192408624,de los Ángeles Fernandez M.,Universidad de Castilla-La Mancha
339,56919228500,Marks S.,Universidad de Castilla-La Mancha
340,57204642114,José Bagur M.,Universidad de Castilla-La Mancha
341,57202013190,Cebrián C.,Universidad de Castilla-La Mancha
342,57196097795,Paton-Carrero A.,Universidad de Castilla-La Mancha
343,57194500865,Angiolini L.,Universidad de Castilla-La Mancha
344,57222758895,Rodríguez Romero L.,Universidad de Castilla-La Mancha
345,57194586670,Mansilla E.,Universidad de Castilla-La Mancha
346,57195433601,Gomez E.,Universidad de Castilla-La Mancha
347,57194557171,Cañizares L.,Universidad de Castilla-La Mancha
348,57194585665,Muñoz M.,Universidad de Castilla-La Mancha
349,8662651400,Lima D.,Universidad de Castilla-La Mancha
350,7801563728,Alguacil N.,Universidad de Castilla-La Mancha
351,7004254999,Ballesteros R.,Universidad de Castilla-La Mancha
352,26655595000,Gil S.,Universidad de Castilla-La Mancha
353,57654266600,Quijorna S.,Universidad de Castilla-La Mancha
354,57192897480,Montes I.,Universidad de Castilla-La Mancha
355,57202415802,Fernandez-Diaz M.,Universidad de Castilla-La Mancha
356,8213092600,Sánchez V.,Universidad de Castilla-La Mancha
357,6506789048,López-Bellido F.J.,Universidad de Castilla-La Mancha
