ID_author_1,ID_author_2,scopus_id_collaborations
10,24,"84946411523,84937406356,85009774249,84976467361,85031429211,85031417121,85031413671,85031411360,85027044910,85027007485,85021623746,85056886246,85056861228,85056809776,85068623221,84921640135,84885703223,33646122693,35248836502,0142152982,84930802668,84922758636,84962909417,84960408169,85036510993,85017284932,85006784330,85058466417,85051723785,85068905394,85064320976,85055803942,85070333694,85140654529,84985997808,67650254837,84879650504,34247103244,84874968164,24344478240,13244291588,35248821015"
12,25,"84946404840,84885820647,84879075599,84880440476"
7,12,"84946404840,84964691204"
8,12,"84946404840,84964691204"
9,12,"84946404840,84964691204"
10,25,"84946404840,84979030182,85027192308,85115122636,84927757348,84921848962,84885820647,84885787258,84861220177,84861206283,84879075599,79956345092,78751517435,71049182304,70350697862,70350682069,70350642134,38449090589,38149118942,38149116292,38049146397,33646176871,33645970689,26944501582,0242276281,26444521540,84989166008,85032857103,85022085661,85016006874,85015950557,85058466417,85051723785,85046656250,85040225719,85076093251,85048797854,85059553607,85086320273,85142751342,85116935696,84929337487,84898638840,84906313437,84880440476,82255192298,80052747504,79952623008,74649086639,70350223833,77950212790,36148962406,38649127241,38649094876,33947636617,33847008684,33746781769,33744813250,32644434232,0037297274,0035546322,81255177818,81255170207,26444487395,24144473630"
7,25,"84946404840,84979030182,84989166008,85032857103,85015950557,85040225719,85086320273"
8,25,"84946404840,84979030182,84989166008,85032857103,85040225719"
9,25,"84946404840,84979030182,84989166008,85032857103,85040225719"
12,26,84937510906
10,26,"84937510906,84979030182"
14,26,"84937510906,84979030182,84921056638,84947225683,85021762880,85045896641,85076827357,85059959531,84904732248,84904433466,84875626385,84873561494,84857662614,79953731618,73649104407"
16,26,"84937510906,84979030182,84921056638,84947225683,84960128182,85021762880,84994172619,85045896641,84992499076,85076827357,85059959531,84928348705,84904732248,84904433466,84898953240,84875626385,84873561494,84857662614,79953731618,73649104407,79960729372,33846377864,23844543446,85045051475"
27,28,"84937510577,84984920653,84984865280,85116493789,85111939125,85112015807,85111920177,85088262998,84978287532,84956665043,84938783864,85011900732,85030226046,85040634650,85016035177,85040618638,85061924825,85041932126,85053176938,85099164471,85090242047,85081136092,85068145374,85117419851,84918509460,84957378430,85046302481,85046265966,85046259388,85096726573,85093939104"
29,30,"84937510488,84943425581"
28,29,"84937510488,84943425581"
28,30,"84937510488,84984903648,85111929826,85134599309,84990963228,84951835896,84956649895,85040612209,85050118016,85133874381,85134052398,85129067101,84876107801,84860886816,85023779027,84905856971,84905867565,84905861274,84943425581,84942884816,85046301884,85096739955,85096729853"
31,32,84937485078
10,31,"84937485078,84937459635,85065884265,85065877376,85068623221,85068600015,85132105181,84938674931,84979774297,84979787279,85070761286,85108991922,85103824262,85099985530,85087050645,85132294358"
31,33,84937485078
31,34,"84937485078,84937459635,85065884265,85065877376,85068623221,85068600015,85132105181,84938674931,84979774297,84979787279,85070761286,85108991922,85103824262,85099985530,85087050645,85132294358"
10,32,"84937485078,84946033353,85028917436,84927757348,84885820647,84881060333,84863904321,84861220177,84861206283,84879093679,84879078505,79956345092,79956344174,79956326296,79551519611,77954873872,70350682069,70350642134,84989166008,84957939601,85016006874,85015950557,84894142804,84894121904,84906313437,84880440476,84873578374,84865236237,84863090327,84859214862,84857649521,82255192298,78049530380,78649949405,77950212790,84866785816,84866776824,84865129723,81255170207"
32,33,"84937485078,79956326296,84859214862"
32,34,84937485078
10,33,"84937485078,79956326296,84859214862"
10,34,"84937485078,84937459635,85009774249,85065884265,85065877376,85068623221,85068600015,85132129853,85132105181,84938674931,84979774297,84979787279,85016569017,85059660450,85070761286,85117198181,85108991922,85103824262,85099985530,85087050645,85141303213,85132316503,85137619353,85132294358,85123738594,85124298805"
33,34,84937485078
10,35,"84937468569,84921507117,84989166008,84983503496,84957939601,85021354413,85089808952"
16,35,"84937468569,84921507117,84989166008,84983503496,84957939601,85021354413,85089808952"
7,16,"84937433340,84979030182,85065859471,84989166008,85021354413,85040060180,85072881226,85090115800,85067455829"
8,16,"84937433340,84979030182,84989166008,85067455829"
9,16,"84937433340,84979030182,84921507117,84989166008,84957939601"
21,36,85009774249
34,36,"85009774249,85065884265,85068623221"
24,36,"85009774249,85068623221"
10,36,"85009774249,85065884265,85068623221"
21,34,85009774249
24,34,"85009774249,85068623221"
37,38,"84984920235,84923013818,84959358663,84949978450,84996564258,84964417437,85027453939,84991340870,85015439458,85009818546,85006867248,84902318249,84906101154,84902551080,84886017125,84880270697,85034454755"
37,39,"84984920235,84923013818,84959358663,84949978450,84996564258,84964417437,85027453939,84991340870,85015439458,85009818546,85006867248,84902318249,84906101154,84902551080,84886017125,84880270697,85034454755"
38,39,"84984920235,84938853698,84930633848,84923013818,84949157229,84959358663,84949978450,85016143466,84996564258,84976351256,84964417437,84977488045,84958213481,84971619842,85031824191,85027453939,84991340870,85037157748,85021821528,85015439458,85009818546,85008367800,85006867248,85049435144,85054180023,85049572197,85041865449,85045316668,85046399524,85041072065,85031894403,85030833936,85072568187,85068269383,85070671248,85065846877,85074860540,85067037719,85067138222,85056616775,85076676368,85077317197,84949116808,84907664580,84902318249,84903647608,84906101154,84902551080,84894551202,84891600551,84892764060,84886017125,84888412701,84876995298,84872322631,84880270697,84872230758,84862903280,84857059796,84857445272,84856347271,84858441574,82755186454,79961013523,78149357420,77950550185,30144434422,85034454755,84911465402,85079914779,85060500796,85139296637,84949521762"
15,26,"84979030182,85076827357"
15,40,"84979030182,85090115800,85049394543,85075270494,85066235876,85076827357,85126350615"
7,15,"84979030182,85065859471,85090115800,85067455829"
8,15,"84979030182,85067455829"
9,15,84979030182
15,25,"84979030182,85058466417"
16,40,"84979030182,85031413671,85036510993,85090115800,85083328607,84921056638,84945188781,84993944736,84947225683,84992712379,85027918738,85021762880,84996524184,85021290925,85002328341,84994172619,85050912703,85049394543,85045896641,85036596351,85017100371,84991798308,85063503075,85075270494,85064913204,85066235876,85061034076,85076827357,85093896046,85088351774,85088156225,85053262524,85062152113,85059959531,85081730549,85126350615,85134600693,84928278709,84906716932,84904732248,84904433466,84886844792,84875626385,84873561494,84884392213,84870414749,84857662614,79953731618"
16,25,"84979030182,84989166008"
14,40,"84979030182,85031413671,85090115800,84921056638,84945188781,84993944736,84947225683,84992712379,85021762880,84996524184,85021290925,85002328341,85050912703,85049394543,85045896641,85036596351,85017100371,84991798308,85071738708,85075270494,85064913204,85066235876,85061034076,85076827357,85093896046,85088351774,85086652865,85088156225,85053262524,85059959531,85121761579,85081730549,85126350615,85102100262,85134600693,84906716932,84904732248,84904433466,84886844792,84875626385,84873561494,84884392213,84870414749,84857662614,79953731618"
7,14,"84979030182,85090115800"
8,14,84979030182
9,14,84979030182
14,25,84979030182
26,40,"84979030182,84921056638,84947225683,85021762880,84994172619,85045896641,85076827357,85059959531,84904732248,84904433466,84875626385,84873561494,84857662614,79953731618"
7,26,84979030182
8,26,84979030182
9,26,84979030182
25,26,84979030182
7,40,"84979030182,85090115800"
8,40,84979030182
9,40,84979030182
25,40,84979030182
10,40,"84979030182,85031413671,85036510993,85090115800,85083328607,85105592906"
7,41,"84978997746,84976479615,85031429211,85031411360,85027076238,85027044910,85056908224,85056871129,85115120671,85068435006,85055803942,85050005593,85108383479,85099973545,85059476534,85129497630,85111590770,85027026130,84923495518,84942596718,84937630904,84926137804,84996496762,85019215121,85077285202,85088314287,85117268726,85104766219,85137577768,84891466835,84874222792,84869199940,84861158201,78149321725,84964068327,85079348822,85098857892,85098846596,85098855957,85100929392,85100944900,85100914354,85100949768,85124723401,85124772438,84875679546,84863605314,79953834388,79953811915,78650830289,77952766492,77952734166,77952726500"
7,42,"84978997746,84976479615,85031429211,85031411360,85027076238,85027044910,85056908224,85056871129,85115186684,85115120671,85068435006,85055803942,85050005593,85108383479,85099973545,85059476534,85096053087,85129497630,85111590770,85027026130,84996496762,85019215121,85104766219"
41,42,"84978997746,84976479615,85031429211,85031411360,85027076238,85027044910,85056908224,85056871129,85115120671,85068435006,85055803942,85050005593,85108383479,85099973545,85059476534,85129497630,85111590770,85027026130,84996496762,85019215121,85104766219"
8,41,"84978997746,85027026130,85019215121,85077285202,85117268726,85130116272,85124572669,85124561674,85124769233,85124516553"
10,41,"84978997746,84976479615,85031429211,85031411360,85027076238,85027044910,85056908224,85056871129,85115120671,85068435006,85055803942,85050005593,85108383479,85099973545,85059476534,85129497630,85111590770"
8,42,"84978997746,85027026130,85019215121"
10,42,"84978997746,84976479615,85031429211,85031411360,85027076238,85027044910,85056908224,85056871129,85115186684,85115120671,85132024584,85068435006,85055803942,85050005593,85083328607,85108383479,85099973545,85059476534,85096053087,85135140820,85129497630,85111590770"
9,42,"84976479615,85027076238,84996496762,85019215121"
9,41,"84976479615,85027076238,84996496762,85019215121"
7,43,84976470647
9,43,84976470647
8,43,84976470647
10,43,84976470647
44,45,84976421818
10,44,84976421818
10,45,"84976421818,85065996425,85068619014,85132118517,79956344174,85070858448,85102633638,85117054754,85102170520,85144555207"
46,47,"84962264967,84954554531,84954548620,84937716581,84961383959,84905465717"
6,46,"84962264967,84954554531,84954548620,84937716581,84994559359,85071632820,84961383959,84905465717"
6,47,"84962264967,85030685629,77958151640,67650113307,72949098261,54249112914,38349026932,38149102426,33646739592,33646256553,35048873774,35248899873,0242371058,0242339675,0142218890,84944065396,84944031980,84877895504,84880739619,85031677311,85064054881,85105284323,85028099593,80052903126,79951808475,77958151578,77649337375,70349459479,70349217238,51549094637,38649103513,34748832893,78449257869,33646886990,25844457345,28444433375,0035941442,0037871117,0002563094,84954554531,84954548620,84937716581,84961383959,84905465717,80052605629,80052589263,77958195733,84861659279,77950620573,84885214843,56749179361,56349098857,48049084732,47949116005,33749040661,11244351715,84943192478,18144384640,17444430484,84973870930,84954111215,8444219866,51349113655,80053218512,85032852464,84994796620,84994777395,84994753038,84994753023,84994711528"
48,49,"84959089233,84902354898,84864219956,84924891259,85035011996,85026999008,84865491657"
48,50,"84959089233,84902354898,84864219956,84924891259,85035011996,84933508705,85026999008,84902320065,84865491657"
6,48,"84959089233,84902354898,84864219956,84924891259,85035011996,84933508705,85026999008,85054082246,84902320065"
49,50,"84959089233,84902354898,84864219956,84924891259,84928016738,85035011996,85026999008,85071668480,85029544518,85063535101,85059832417,85073593937,85103764333,85071675014,85051277383,84865491657"
6,49,"84959089233,84902354898,84864219956,85025626302,33744792932,84924891259,84928016738,85035011996,55849131832,33947624150,33750044616,85026999008,85071668480,80052589263,77950604670,84886659443,38749132989,34547317812,84961351319,84898594666,84898573802"
